Id,Date,Site,County,State,Species,Sex,Age,Reproduction,Forearm,Weight,Data Project
2406546,00:00.0,"Bogus Bluff (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406547,00:00.0,"Bogus Bluff (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406548,00:00.0,"Bogus Bluff (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406549,00:00.0,"Bogus Bluff (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406550,00:00.0,"Bogus Bluff (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406551,00:00.0,"Bogus Bluff (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406552,00:00.0,"Bogus Bluff (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406553,00:00.0,"Bogus Bluff (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406554,00:00.0,"Bogus Bluff (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406555,00:00.0,"Bogus Bluff (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406556,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406557,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406558,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406559,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406560,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406561,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406562,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406563,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406564,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406565,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406566,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406567,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406568,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406569,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406570,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406571,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406572,00:00.0,"Madison (Dane), Dane, United States","Dane, US.WI",Wisconsin,Eptesicus fuscus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406573,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406574,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406575,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406576,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Eptesicus fuscus,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406577,00:00.0,"Snake Cave (Grant), Grant, United States","Grant, US.WI",Wisconsin,Eptesicus fuscus,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406578,00:00.0,"Snake Cave (Grant), Grant, United States","Grant, US.WI",Wisconsin,Eptesicus fuscus,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406579,00:00.0,"Snake Cave (Grant), Grant, United States","Grant, US.WI",Wisconsin,Eptesicus fuscus,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
2406580,00:00.0,"Snake Cave (Grant), Grant, United States","Grant, US.WI",Wisconsin,Eptesicus fuscus,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
