Id,Date,Site,County,State,Species,Sex,Age,Reproduction,Forearm,Weight,Data Project
1252,00:00.0,"Larrabee Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus borealis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1253,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus borealis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1254,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus borealis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1255,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus borealis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1256,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus borealis,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1257,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus borealis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1258,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus borealis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1260,00:00.0,"Beaver Creek (Boyd), Boyd, United States","Boyd, US.NE",Nebraska,Lasiurus borealis,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1261,00:00.0,"Beaver Creek (Boyd), Boyd, United States","Boyd, US.NE",Nebraska,Lasiurus borealis,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1262,00:00.0,"Beaver Creek (Boyd), Boyd, United States","Boyd, US.NE",Nebraska,Lasiurus borealis,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1263,00:00.0,"Beaver Creek (Boyd), Boyd, United States","Boyd, US.NE",Nebraska,Lasiurus borealis,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1264,00:00.0,"Muddy Creek (Sherman), Sherman, United States","Sherman, US.NE",Nebraska,Lasiurus borealis,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1265,00:00.0,"Muddy Creek (Sherman), Sherman, United States","Sherman, US.NE",Nebraska,Lasiurus borealis,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1266,00:00.0,"Muddy Creek (Sherman), Sherman, United States","Sherman, US.NE",Nebraska,Lasiurus borealis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
