Id,Date,Site,County,State,Species,Sex,Age,Reproduction,Forearm,Weight,Data Project
1346,00:00.0,"White Clay Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1348,00:00.0,"Beaver Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1349,00:00.0,"Larrabee Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1350,00:00.0,"Larrabee Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1351,00:00.0,"Larrabee Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1352,00:00.0,"Beaver Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Unknown,Unknown,,,Bat Population Database Published Data Project
1353,00:00.0,"Beaver Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Unknown,Unknown,,,Bat Population Database Published Data Project
1354,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1355,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1356,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1357,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1358,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1360,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1361,00:00.0,"Larrabee Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1362,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1363,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1364,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1365,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1366,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1367,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1368,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1369,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1370,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1371,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1372,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1373,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1374,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1376,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1377,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1378,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Unknown,Unknown,,,Bat Population Database Published Data Project
1379,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Unknown,Unknown,,,Bat Population Database Published Data Project
1380,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Unknown,Unknown,,,Bat Population Database Published Data Project
1381,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1382,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1383,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1384,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1385,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1386,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1387,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1388,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1389,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1390,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasiurus cinereus,Female,Unknown,Unknown,,,Bat Population Database Published Data Project
1395,00:00.0,"Beaver Creek (Boyd), Boyd, United States","Boyd, US.NE",Nebraska,Lasiurus cinereus,Male,Unknown,Unknown,,,Bat Population Database Published Data Project
1396,00:00.0,"Beaver Creek (Boyd), Boyd, United States","Boyd, US.NE",Nebraska,Lasiurus cinereus,Male,Unknown,Unknown,,,Bat Population Database Published Data Project
1404,00:00.0,"3 miles south of Chapman (Merrick), Merrick, United States","Merrick, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1405,00:00.0,"3 miles south of Chapman (Merrick), Merrick, United States","Merrick, US.NE",Nebraska,Lasiurus cinereus,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1407,00:00.0,"Ponca State Park (Dixon), Dixon, United States","Dixon, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1408,00:00.0,"Ponca State Park (Dixon), Dixon, United States","Dixon, US.NE",Nebraska,Lasiurus cinereus,Female,Unknown,Unknown,,,Bat Population Database Published Data Project
1410,00:00.0,"Ponca State Park (Dixon), Dixon, United States","Dixon, US.NE",Nebraska,Lasiurus cinereus,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1409,00:00.0,"Ponca State Park (Dixon), Dixon, United States","Dixon, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1415,00:00.0,"Pond (Cass), South of Hidden Canyon Road, Cass, United States","Cass, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1416,00:00.0,"Pond (Cass), South of Hidden Canyon Road, Cass, United States","Cass, US.NE",Nebraska,Lasiurus cinereus,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1417,00:00.0,"Big Bordeaux Creek (Dawes), Dawes, United States","Dawes, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1418,00:00.0,"Big Bordeaux Creek (Dawes), Dawes, United States","Dawes, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1419,00:00.0,"Big Bordeaux Creek (Dawes), Dawes, United States","Dawes, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1420,00:00.0,"Big Bordeaux Creek (Dawes), Dawes, United States","Dawes, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1421,00:00.0,"Big Bordeaux Creek (Dawes), Dawes, United States","Dawes, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1422,00:00.0,"Big Bordeaux Creek (Dawes), Dawes, United States","Dawes, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1423,00:00.0,"Big Bordeaux Creek (Dawes), Dawes, United States","Dawes, US.NE",Nebraska,Lasiurus cinereus,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1424,00:00.0,"East Middle Creek (Keya Paha), Keya Paha, United States","Keya Paha, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1425,00:00.0,"East Middle Creek (Keya Paha), Keya Paha, United States","Keya Paha, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1426,00:00.0,"East Middle Creek (Keya Paha), Keya Paha, United States","Keya Paha, US.NE",Nebraska,Lasiurus cinereus,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1391,00:00.0,"Minnechaduza Creek (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Lasiurus cinereus,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1392,00:00.0,"Minnechaduza Creek (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Lasiurus cinereus,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1393,00:00.0,"Fort Niobrara National Wildlife Refuge (Cherry), Cherry, United States, FWS, Fort Niobrara National Wildlife Refuge","Cherry, US.NE",Nebraska,Lasiurus cinereus,Female,Unknown,Unknown,,,Bat Population Database Published Data Project
1394,00:00.0,"Beaver Creek (Boyd), Boyd, United States","Boyd, US.NE",Nebraska,Lasiurus cinereus,Male,Unknown,Unknown,,,Bat Population Database Published Data Project
1397,00:00.0,"Beaver Creek (Boyd), Boyd, United States","Boyd, US.NE",Nebraska,Lasiurus cinereus,Male,Unknown,Unknown,,,Bat Population Database Published Data Project
1398,00:00.0,"Beaver Creek (Boyd), Boyd, United States","Boyd, US.NE",Nebraska,Lasiurus cinereus,Female,Unknown,Unknown,,,Bat Population Database Published Data Project
1399,00:00.0,"Beaver Creek (Boyd), Boyd, United States","Boyd, US.NE",Nebraska,Lasiurus cinereus,Female,Unknown,Unknown,,,Bat Population Database Published Data Project
