Id,Date,Site,County,State,Species,Sex,Age,Reproduction,Forearm,Weight,Data Project
1013,00:00.0,"Escalante Forks (Mesa), Mesa, United States","Mesa, US.CO",Colorado,Lasionycteris noctivagans,Male,Adult,Scrotal,,8.8,Bat Population Database Published Data Project
1014,00:00.0,"Escalante Forks (Mesa), Mesa, United States","Mesa, US.CO",Colorado,Lasionycteris noctivagans,Male,Adult,Scrotal,,8.8,Bat Population Database Published Data Project
1015,00:00.0,"Escalante Forks (Mesa), Mesa, United States","Mesa, US.CO",Colorado,Lasionycteris noctivagans,Male,Adult,Non Reproductive,,,Bat Population Database Published Data Project
1161,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasionycteris noctivagans,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1162,00:00.0,"Patton Creek (Sheridan), Sheridan, United States","Sheridan, US.NE",Nebraska,Lasionycteris noctivagans,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1164,00:00.0,"Salt Creek (Lancaster), Lancaster, United States","Lancaster, US.NE",Nebraska,Lasionycteris noctivagans,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1165,00:00.0,"Salt Creek (Lancaster), Lancaster, United States","Lancaster, US.NE",Nebraska,Lasionycteris noctivagans,Female,Adult,Lactating,,,Bat Population Database Published Data Project
1166,00:00.0,"Salt Creek (Lancaster), Lancaster, United States","Lancaster, US.NE",Nebraska,Lasionycteris noctivagans,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1167,00:00.0,"Salt Creek (Lancaster), Lancaster, United States","Lancaster, US.NE",Nebraska,Lasionycteris noctivagans,Male,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1168,00:00.0,"barn (Cuming), Cuming, United States","Cuming, US.NE",Nebraska,Lasionycteris noctivagans,Female,Juvenile,Non Reproductive,,,Bat Population Database Published Data Project
1259,00:00.0,"Schindler Creek (Knox), Knox, United States","Knox, US.NE",Nebraska,Lasionycteris noctivagans,Female,Adult,Unknown,,,Bat Population Database Published Data Project
927721,00:00.0,"Philmont Scout Ranch (Colfax), 14 mi NW Cimarron, Pueblano Ruins, Colfax, United States","Colfax, US.NM",New Mexico,Lasionycteris noctivagans,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
927722,00:00.0,"Philmont Scout Ranch (Colfax), 14 mi NW Cimarron, Pueblano Ruins, Colfax, United States","Colfax, US.NM",New Mexico,Lasionycteris noctivagans,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
927723,00:00.0,"Philmont Scout Ranch (Colfax), 14 mi NW Cimarron, Pueblano Ruins, Colfax, United States","Colfax, US.NM",New Mexico,Lasionycteris noctivagans,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
927724,00:00.0,"Philmont Scout Ranch (Colfax), 14 mi NW Cimarron, Pueblano Ruins, Colfax, United States","Colfax, US.NM",New Mexico,Lasionycteris noctivagans,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
927725,00:00.0,"Philmont Scout Ranch (Colfax), 14 mi NW Cimarron, Pueblano Ruins, Colfax, United States","Colfax, US.NM",New Mexico,Lasionycteris noctivagans,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
1337168,00:00.0,"Tunnel Cave (Jefferson), Clifty Falls State Park, Jefferson, United States","Jefferson, US.IN",Indiana,Lasionycteris noctivagans,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
1079585,00:00.0,"Portal (Cochise), Cochise, United States","Cochise, US.AZ",Arizona,Lasionycteris noctivagans,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
1079586,00:00.0,"Portal (Cochise), Cochise, United States","Cochise, US.AZ",Arizona,Lasionycteris noctivagans,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
1079614,00:00.0,"Portal (Cochise), Cochise, United States","Cochise, US.AZ",Arizona,Lasionycteris noctivagans,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
1413462,00:00.0,"Seaside Park (Ocean), Ocean, United States","Ocean, US.NJ",New Jersey,Lasionycteris noctivagans,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
1413463,00:00.0,"Seaside Park (Ocean), Ocean, United States","Ocean, US.NJ",New Jersey,Lasionycteris noctivagans,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
1413464,00:00.0,"Seaside Park (Ocean), Ocean, United States","Ocean, US.NJ",New Jersey,Lasionycteris noctivagans,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
1413465,00:00.0,"Seaside Park (Ocean), Ocean, United States","Ocean, US.NJ",New Jersey,Lasionycteris noctivagans,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
1413466,00:00.0,"Seaside Park (Ocean), Ocean, United States","Ocean, US.NJ",New Jersey,Lasionycteris noctivagans,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
1413467,00:00.0,"Seaside Park (Ocean), Ocean, United States","Ocean, US.NJ",New Jersey,Lasionycteris noctivagans,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
1413468,00:00.0,"Seaside Park (Ocean), Ocean, United States","Ocean, US.NJ",New Jersey,Lasionycteris noctivagans,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
1415141,00:00.0,"Southwestern Research Station (Cochise), Cochise, United States","Cochise, US.AZ",Arizona,Lasionycteris noctivagans,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
1415236,00:00.0,"S. Fork Cave Creek (Cochise), 4 mi SW of Portal, Cochise, United States","Cochise, US.AZ",Arizona,Lasionycteris noctivagans,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
