Id,Date,Site,County,State,Species,Sex,Age,Reproduction,Forearm,Weight,Data Project
365,00:00.0,"Dunbar Cave (Montgomery), Montgomery, United States","Montgomery, US.TN",Tennessee,Myotis septentrionalis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
364,00:00.0,"Dunbar Cave (Montgomery), Montgomery, United States","Montgomery, US.TN",Tennessee,Myotis septentrionalis,Male,Adult,Unknown,,,Bat Population Database Published Data Project
366,00:00.0,"Dunbar Cave (Montgomery), Montgomery, United States","Montgomery, US.TN",Tennessee,Myotis septentrionalis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
367,00:00.0,"Dunbar Cave (Montgomery), Montgomery, United States","Montgomery, US.TN",Tennessee,Myotis septentrionalis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
368,00:00.0,"Dunbar Cave (Montgomery), Montgomery, United States","Montgomery, US.TN",Tennessee,Myotis septentrionalis,Male,Adult,Unknown,,,Bat Population Database Published Data Project
985,00:00.0,"Grindstaff Cave (Carter), Carter, United States, FS, Cherokee National Forest","Carter, US.TN",Tennessee,Myotis septentrionalis,Unknown,Adult,Unknown,,,Bat Population Database Published Data Project
983,00:00.0,"Grindstaff Cave (Carter), Carter, United States, FS, Cherokee National Forest","Carter, US.TN",Tennessee,Myotis septentrionalis,Unknown,Adult,Unknown,,,Bat Population Database Published Data Project
987,00:00.0,"East Fork Saltpeter Cave (Fentress), Fentress, United States","Fentress, US.TN",Tennessee,Myotis septentrionalis,Unknown,Adult,Unknown,,,Bat Population Database Published Data Project
1123,00:00.0,"Ponca State Park (Dixon), Dixon, United States","Dixon, US.NE",Nebraska,Myotis septentrionalis,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1110,00:00.0,"Anderson Bridge Wildlife Management Area (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Myotis septentrionalis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1111,00:00.0,"Anderson Bridge Wildlife Management Area (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Myotis septentrionalis,Male,Adult,Unknown,,,Bat Population Database Published Data Project
1114,00:00.0,"Floodplain of Niobrara River (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Myotis septentrionalis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1115,00:00.0,"Floodplain of Niobrara River (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Myotis septentrionalis,Female,Adult,Unknown,,,Bat Population Database Published Data Project
1116,00:00.0,"Floodplain of Niobrara River (Cherry), Cherry, United States","Cherry, US.NE",Nebraska,Myotis septentrionalis,Male,Adult,Unknown,,,Bat Population Database Published Data Project
