Id,Date,Site,County,State,Species,Sex,Age,Reproduction,Forearm,Weight,Data Project
2560055,00:00.0,"John Gray Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560056,00:00.0,"John Gray Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560059,00:00.0,"John Gray Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560074,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560075,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560079,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560080,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560084,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560092,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560094,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560096,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560097,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560098,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560099,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560100,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560101,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560102,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560103,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560104,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560105,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560106,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560107,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560108,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560109,00:00.0,"Bear Cave (Richland), 6 mi. NE of Bascobel, Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560110,00:00.0,"Bear Cave (Richland), 6 mi. NE of Bascobel, Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560111,00:00.0,"Bear Cave (Richland), 6 mi. NE of Bascobel, Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560112,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560113,00:00.0,"Bear Cave (Richland), 6 mi. NE of Bascobel, Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560114,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Male,Unknown,Unknown,,,U.S. Bat Banding Program Data
2560115,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2568799,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
2568800,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Unknown,Unknown,Unknown,,,U.S. Bat Banding Program Data
2579794,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2579795,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2579796,00:00.0,"Eagle Cave (Richland), Richland, United States","Richland, US.WI",Wisconsin,Pipistrellus subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2692469,00:00.0,"Iron Mine (Dodge), Dodge, United States","Dodge, US.WI",Wisconsin,Perimyotis subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2692470,00:00.0,"Iron Mine (Dodge), Dodge, United States","Dodge, US.WI",Wisconsin,Perimyotis subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2692471,00:00.0,"Iron Mine (Dodge), Dodge, United States","Dodge, US.WI",Wisconsin,Perimyotis subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
2692472,00:00.0,"Iron Mine (Dodge), Dodge, United States","Dodge, US.WI",Wisconsin,Perimyotis subflavus,Female,Unknown,Unknown,,,U.S. Bat Banding Program Data
